NU_CNPB_PLANO_DA;ID_PROVISAO_MATEMATICA;TX_PERC_CUSTO_ANO;VL_CUSTO_ANO;SM_PROVISAO_MATEMATICA;SM_BENEFICIOS_CONCEDIDOS;SM_BEN_CON_CONTRIBUI_DEF;VL_BC_CD_SALD_CONT_ASSIST;SM_BEN_CON_BENEFICIO_DEF;VL_BC_BD_PROG_VABF_ASSIST;VL_BC_BD_NPRO_VABF_ASSIST;SM_BENEFICIOS_A_CONCEDER;SM_BEN_A_CON_CONTRIB_DEF;VL_AC_CD_SALD_CONT_PATRO;VL_AC_CD_SALD_CONT_PART;SM_BEN_A_CON_BEN_DEF_PROG;VL_AC_BD_PROG_VABF;VL_AC_BD_PROG_VACF_PATRO;VL_AC_BD_PROG_VACF_PART;SM_BEN_A_CON_BEN_DEF_NPRO;VL_AC_BD_NPRO_VABF;VL_AC_BD_NPRO_VACF_PATRO;VL_AC_BD_NPRO_VACF_PART;VL_AC_BD_CAPT_COBERTURA;VL_AC_BD_REPT_SIMPLES;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL
1979000247;162308;;0;1270069325;1189427688;0;0;1189427688;1028735241;160692446.4;80641637.51;0;0;0;78944075.66;80667512.6;861881.06;861555.88;1697561.85;1734621.52;18533.33;18526.34;0;0;;2685016
1994000929;162318;;0;331609391.9;242497708.4;675519.66;675519.66;241822188.7;181103502.5;60718686.23;89111683.49;86573161.63;58437545.83;28135615.8;1318285.52;1318285.52;0;0;1220236.34;1220236.34;0;0;0;0;;2685019
1999004256;162328;;940785.44;3060329940;2862425204;3890885.72;3890885.72;2858534318;1706639976;1151894342;197904736.2;75814847.29;45486084.87;30328762.42;1782477.38;1782477.38;0;0;120307411.6;120307411.6;0;0;0;0;;2685023
2000003729;162338;;756548.31;74489310.97;45807008.14;667367.02;667367.02;45139641.12;35700609.27;9439031.85;28682302.83;21985267.59;10234703.15;11750564.44;4655925.35;4655925.35;0;0;2041109.89;2041109.89;0;0;0;0;;2685029
2000003974;162348;;86580837.95;994797957.7;751406940.6;44764485.12;44764485.12;706642455.5;597956478.6;108685976.9;243391017.1;222305833.4;103133092.7;119172740.7;769901.94;769901.94;0;0;20315281.8;20315281.8;0;0;0;0;;2685032
2002001065;162358;;638651.92;97327548.02;20335016.14;392446.51;392446.51;19942569.63;16210031.36;3732538.27;76992531.88;69578249.36;39138066.67;30440182.69;5018188.29;5018188.29;0;0;2396094.23;2396094.23;0;0;0;0;;2685035
2008001619;162367;;183171.94;66936514.88;12845083.98;0;0;12845083.98;9678205.58;3166878.4;54091430.9;52925512.75;26204110.59;26721402.16;69313.34;69313.34;0;0;1096604.81;1096604.81;0;0;0;0;;2685038
1993002847;162374;;2893224.49;110044507.1;43130777.75;43130777.75;43130777.75;0;0;0;66913729.37;66374712.6;35337375.08;31037337.52;0;0;0;0;539016.77;539016.77;0;0;0;0;;2685043
2000004474;162381;;15850584.86;290065196;131452490.2;7914032.73;7914032.73;123538457.5;119606388.2;3932069.28;158612705.8;158612705.8;112099413.6;46513292.21;0;0;0;0;0;0;0;0;0;0;;2685047
2017001074;162387;;5712536.13;56581793.93;7406610.24;6408042.24;6408042.24;998568;998568;0;49175183.69;42415390.94;41929080.62;486310.32;5972949.75;10539048.75;4566099;0;786843;1554196;767353;0;0;0;;2685050
2007003465;162414;;2828774.42;41605560.46;4884801.41;4884801.41;4884801.41;0;0;0;36720759.05;35966889.71;17572650.64;18394239.07;0;0;0;0;753869.34;769702;7916.33;7916.33;0;0;;2685061
2019001365;162437;;4488404.04;65477662.67;7607096.04;3195863.04;3195863.04;4411233;3417361;993872;57870566.63;57850041.63;28616835.2;29233206.43;19941;19941;0;0;584;584;0;0;0;0;;2685064
2015000518;162445;;6103490.17;63449639.8;8912175.05;8912175.05;8912175.05;0;0;0;54537464.75;46693049.89;23824592.12;22868457.77;3521532.03;4680849;1159316.97;0;4322882.83;5746011;1423128.17;0;0;0;;2685067
2008000338;162453;;850034.04;20944229.74;1250381.56;652225.56;652225.56;598156;598156;0;19693848.18;19693848.18;10614755.95;9079092.23;0;0;0;0;0;0;0;0;0;0;;2685072
2006000683;162462;;13375978.07;265662308.4;72568049.92;46136479.92;46136479.92;26431570;24396547;2035023;193094258.4;193094258.4;123307103.6;69787154.88;0;0;0;0;0;0;0;0;0;0;;2685074
1994001747;162478;;3828195.34;62479386.81;22870176.55;19973352.66;19973352.66;2896823.89;2763730.09;133093.8;39609210.26;33143532.51;14079765.27;19063767.24;5607688.77;14025187.92;8417499.15;0;857988.98;2127215.02;1269226.04;0;0;0;;2685077
1996000829;162486;;51389228.19;612548671.5;36845973.89;33020081.89;33020081.89;3825892;2843462;982430;575702697.7;575702697.7;336213557.2;239489140.5;0;0;0;0;0;0;0;0;0;0;;2685080
1981001565;162495;;787323.36;42913105.72;18247926.04;10259.04;10259.04;18237667;18237667;0;24665179.68;4151405.68;1958535.7;2192869.98;20513774;20513774;0;0;0;0;0;0;0;0;;2685084
2012001319;162501;;574064.92;6151851.22;747950.36;747950.36;747950.36;0;0;0;5403900.86;5241955.62;2826944.38;2415011.24;913.71;913.71;0;0;161031.53;161031.53;0;0;0;0;;2685087
2001000618;162509;;12749.04;27898155.49;16839128.33;10194143.33;10194143.33;6644985;4800533;1844452;11059027.16;11059027.16;5078710.76;5980316.4;0;0;0;0;0;0;0;0;0;0;;2685090
2006006411;162518;;0;65208979.89;61040779.78;53135.78;53135.78;60987644;42234131;18753513;4168200.11;1818397.11;0;1818397.11;2329489;2329489;0;0;20314;20314;0;0;0;0;;2685093
2006001647;162534;;19851884.52;589710760;137046454.2;85707278.17;85707278.17;51339176;41005100;10334076;452664305.8;451373670.8;235984790.5;215388880.3;0;0;0;0;1290635;1290635;0;0;0;0;;2685098
1996002147;162545;;4569766.99;96050741.29;46092548.32;32565525.34;32565525.34;13527022.98;8022331.56;5504691.42;49958192.97;48217870.98;24670283.59;23547587.39;713518.36;1290172.25;576653.89;0;1026803.63;1529529.07;502725.44;0;0;0;;2685101
2015001638;162551;;0;93607288;93607288;0;0;93607288;93563659;43629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2685105
2015001719;162556;;0;84790963;84790963;0;0;84790963;82877911;1913052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2685108
2017001147;162564;;8961193.36;122923396.3;13007909.13;12083165.13;12083165.13;924744;924744;0;109915487.2;109915487.2;35494957.97;74420529.21;0;0;0;0;0;0;0;0;0;0;;2685111
1990000118;162573;;4970683.8;341690044.2;145066870;142599991;142599991;2466879;1979581;487298;196623174.3;196623174.3;85861334.67;110761839.6;0;0;0;0;0;0;0;0;0;0;;2685114
1995000183;162581;;2702496;158339260.5;77703400.78;74816187.78;74816187.78;2887213;1152278;1734935;80635859.68;80183799.22;51855405.28;28328393.94;440924.46;680250.46;239326;0;11136;26582;15446;0;0;0;;2685117
1992000492;162590;;68499.4;50564468.26;40650836;0;0;40650836;38450504;2200332;9913632.26;6303889.26;1294028.84;5009860.42;3586360;3647373;61013;0;23383;33703;10320;0;0;0;;2685119
1989000118;162613;;4483734.58;142834856.8;33568866.71;24151067.71;24151067.71;9417799;4084021;5333778;109265990.1;108412012.1;47929886.07;60482126.04;259382;259382;0;0;594596;594596;0;0;0;0;;2685123
1989000738;162621;;0;160688288.8;112572571.8;401.8;401.8;112572170;107544444;5027726;48115716.99;335448.99;0;335448.99;47644195;47644195;0;0;136073;136073;0;0;0;0;;2685126
1989000274;162653;;0;516444499.9;460197463.7;4480033.71;4480033.71;455717430;415554075;40163355;56247036.17;7449240.17;0;7449240.17;45875433;45875433;0;0;2922363;2922363;0;0;0;0;;2685129
1975000218;162685;;81150.49;1850667658;1849502140;0;0;1849502140;1229225921;620276219;1165518.15;0;0;0;1064249.6;1454759;307322.68;83186.72;101268.55;241763;110566.17;29928.28;0;0;;2685136
2002000956;162691;;10139066.33;159721249.4;10280670.78;10280670.78;10280670.78;0;0;0;149440578.6;148285936.1;52786380.38;95499555.75;0;0;0;0;1154642.45;1154642.45;0;0;0;0;;2685139
2007002256;162706;;3143619.84;60270001.9;1205987.96;0;0;1205987.96;0;1205987.96;59064013.94;59064013.94;28374663.51;30689350.43;0;0;0;0;0;0;0;0;0;0;;2685143
1998002365;162714;;5429114.28;233954808.1;93900475;93900475;93900475;0;0;0;140054333.1;139729474.1;83160172.4;56569301.72;323041;366496;43455;0;1818;3153;1335;0;0;0;;2685146
1994001356;162722;;2819098.56;95657454.88;11136284.11;5678042.6;5678042.6;5458241.51;5187479.51;270762;84521170.77;84521117.77;80180078.38;4341039.39;31;31;0;0;22;22;0;0;0;0;;2685157
1996002465;162729;;10993689.12;226893371.5;67493213.73;0;0;67493213.73;67493213.73;0;159400157.7;159400157.7;118129616.9;41270540.88;0;0;0;0;0;0;0;0;0;0;;2685165
