NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
1715;2654677;1979000174;910;160871572.3;1
1729;2683155;1990001092;2630;250094890;5
1732;2688364;1985001111;16;2996187.09;1
1746;2654529;1982003065;2376;161645229.8;1
1763;2685173;1990000819;4222;241385914;2
1781;2659403;1904000118;124766;0;1
1781;2677587;1980000174;3786;780248484.1;1
1781;2684340;2019002711;4099;0;1
1781;2688806;1998003574;79870;9621906417;1
1804;2683016;1988001838;1695;197765085;1
1818;2682938;1997001365;210;15342954;1
1818;2694257;2002000174;2310;262776415;2
1821;2692079;1980002274;799;9585705.68;1
1852;2716244;1985001047;15284;1397144780;1
1852;3096690;1985001047;15284;1397144780;1
1883;2675675;1988001056;678;46139084;1
1883;2675677;2006003356;4622;260921627;1
1911;2685258;1992001618;0;0;1
1911;2685274;2005004847;149;9454811.01;2
1911;2686646;2013001274;187;7298240.02;2
1911;2688316;2009003365;290;21147665.76;1
1911;2688338;1993001311;0;0;1
1911;2688794;2015000674;2207;0;1
1911;2689259;2008003183;492;28295728.76;1
1911;2689629;2006005847;297;16945002.26;1
1911;2689643;1998005518;1655;131170445.3;1
1911;2690416;2018001711;3751;7840293.04;1
1911;2692118;1999002156;548;31675077.98;1
1911;2692124;2000006183;3660;213129946.3;1
1911;2692130;2006001411;1807;73786702.84;1
1911;2692136;1998004147;141;7111749.58;1
1911;2692152;1994001992;3;131049.72;1
1911;2697282;2007001292;793;4210346.27;1
1911;2698641;1987000218;0;0;1
1911;2769658;1997003211;2123;125817288.6;1
1924;2684734;2008003711;5969;770339548.1;10
1924;2684760;1989000347;510;49712381.03;6
1924;2685129;1989000274;656;63114301;6
1969;2684889;1981000356;2;390611;1
1969;2684895;1999004019;3500;271099201;2
1972;2683161;2005001783;1628;302398273;1
1972;2683163;2007000229;9;3736158;2
1991;2685749;2017000892;488;47238409;1
1991;2686263;1980000565;1500;204016021;1
1991;2686268;1996003119;1285;157980785.6;1
2004;3094995;1987001729;693;3056493540;1
